city_id,city_name,state_code,tier,latitude,longitude
CITY-1000,Mumbai,MH,1,19.07,72.88
CITY-1001,Pune,MH,1,18.52,73.86
CITY-1002,Nagpur,MH,2,21.15,79.09
CITY-1003,Nashik,MH,2,20.0,73.79
CITY-1004,Thane,MH,1,19.22,72.98
CITY-1005,Aurangabad,MH,2,19.88,75.34
CITY-1006,Solapur,MH,3,17.66,75.91
CITY-1007,Kolhapur,MH,3,16.71,74.24
CITY-1008,Amravati,MH,3,20.93,77.76
CITY-1009,Nanded,MH,3,19.16,77.3
CITY-1010,New Delhi,DL,1,28.61,77.21
CITY-1011,Dwarka,DL,2,28.59,77.05
CITY-1012,Rohini,DL,2,28.74,77.07
CITY-1013,Bangalore,KA,1,12.97,77.59
CITY-1014,Mysore,KA,2,12.3,76.65
CITY-1015,Mangalore,KA,2,12.91,74.86
CITY-1016,Hubli,KA,2,15.36,75.12
CITY-1017,Belgaum,KA,3,15.85,74.5
CITY-1018,Gulbarga,KA,3,17.33,76.83
CITY-1019,Chennai,TN,1,13.08,80.27
CITY-1020,Coimbatore,TN,2,11.02,76.96
CITY-1021,Madurai,TN,2,9.93,78.12
CITY-1022,Trichy,TN,2,10.79,78.7
CITY-1023,Salem,TN,3,11.66,78.15
CITY-1024,Tirunelveli,TN,3,8.71,77.76
CITY-1025,Vellore,TN,3,12.92,79.13
CITY-1026,Erode,TN,3,11.34,77.72
CITY-1027,Hyderabad,TS,1,17.39,78.49
CITY-1028,Warangal,TS,3,17.97,79.59
CITY-1029,Visakhapatnam,AP,2,17.69,83.22
CITY-1030,Vijayawada,AP,2,16.51,80.65
CITY-1031,Tirupati,AP,3,13.63,79.42
CITY-1032,Guntur,AP,3,16.31,80.43
CITY-1033,Kolkata,WB,1,22.57,88.36
CITY-1034,Howrah,WB,2,22.59,88.26
CITY-1035,Durgapur,WB,3,23.52,87.31
CITY-1036,Siliguri,WB,3,26.71,88.43
CITY-1037,Asansol,WB,3,23.68,86.97
CITY-1038,Ahmedabad,GJ,1,23.02,72.57
CITY-1039,Surat,GJ,2,21.17,72.83
CITY-1040,Vadodara,GJ,2,22.31,73.18
CITY-1041,Rajkot,GJ,2,22.3,70.8
CITY-1042,Bhavnagar,GJ,3,21.76,72.15
CITY-1043,Jamnagar,GJ,3,22.47,70.06
CITY-1044,Gandhinagar,GJ,3,23.22,72.65
CITY-1045,Jaipur,RJ,1,26.91,75.79
CITY-1046,Jodhpur,RJ,2,26.24,73.02
CITY-1047,Udaipur,RJ,2,24.59,73.71
CITY-1048,Kota,RJ,3,25.21,75.86
CITY-1049,Ajmer,RJ,3,26.45,74.64
CITY-1050,Bikaner,RJ,3,28.02,73.31
CITY-1051,Kochi,KL,2,9.93,76.27
CITY-1052,Thiruvananthapuram,KL,1,8.52,76.94
CITY-1053,Kozhikode,KL,2,11.25,75.78
CITY-1054,Thrissur,KL,3,10.52,76.21
CITY-1055,Kannur,KL,3,11.87,75.37
CITY-1056,Kollam,KL,3,8.89,76.61
CITY-1057,Lucknow,UP,1,26.85,80.95
CITY-1058,Kanpur,UP,2,26.45,80.33
CITY-1059,Agra,UP,2,27.18,78.01
CITY-1060,Varanasi,UP,2,25.32,82.97
CITY-1061,Allahabad,UP,2,25.44,81.85
CITY-1062,Sathariya,UP,3,25.65,82.55
CITY-1063,Jaunpur,UP,3,25.75,82.68
CITY-1064,Meerut,UP,2,28.98,77.71
CITY-1065,Ghaziabad,UP,1,28.67,77.45
CITY-1066,Noida,UP,1,28.54,77.39
CITY-1067,Bareilly,UP,3,28.37,79.43
CITY-1068,Aligarh,UP,3,27.88,78.08
CITY-1069,Gorakhpur,UP,3,26.76,83.37
CITY-1070,Ludhiana,PB,1,30.9,75.86
CITY-1071,Amritsar,PB,2,31.63,74.87
CITY-1072,Jalandhar,PB,2,31.33,75.58
CITY-1073,Hoshiarpur,PB,2,31.53,75.91
CITY-1074,Patiala,PB,3,30.34,76.39
CITY-1075,Bathinda,PB,3,30.21,74.95
CITY-1076,Gurugram,HR,1,28.46,77.03
CITY-1077,Faridabad,HR,1,28.41,77.32
CITY-1078,Panipat,HR,3,29.39,76.96
CITY-1079,Karnal,HR,3,29.69,76.99
CITY-1080,Hisar,HR,3,29.15,75.72
CITY-1081,Ambala,HR,3,30.37,76.78
CITY-1082,Bhopal,MP,1,23.26,77.41
CITY-1083,Indore,MP,1,22.72,75.86
CITY-1084,Gwalior,MP,2,26.22,78.18
CITY-1085,Jabalpur,MP,2,23.18,79.99
CITY-1086,Ujjain,MP,3,23.18,75.78
CITY-1087,Patna,BR,1,25.59,85.14
CITY-1088,Gaya,BR,3,24.79,85.0
CITY-1089,Muzaffarpur,BR,3,26.12,85.36
CITY-1090,Bhagalpur,BR,3,25.24,86.97
CITY-1091,Bhubaneswar,OD,2,20.3,85.82
CITY-1092,Cuttack,OD,3,20.46,85.88
CITY-1093,Rourkela,OD,3,22.26,84.85
CITY-1094,Ranchi,JH,2,23.34,85.31
CITY-1095,Jamshedpur,JH,2,22.8,86.2
CITY-1096,Dhanbad,JH,3,23.8,86.43
CITY-1097,Raipur,CG,2,21.25,81.63
CITY-1098,Bhilai,CG,3,21.2,81.43
CITY-1099,Guwahati,AS,2,26.14,91.74
CITY-1100,Silchar,AS,3,24.83,92.78
CITY-1101,Dibrugarh,AS,3,27.47,94.91
CITY-1102,Agartala,TR,3,23.83,91.28
CITY-1103,Imphal,MN,3,24.81,93.94
CITY-1104,Shillong,ML,3,25.58,91.89
CITY-1105,Aizawl,MZ,3,23.73,92.72
CITY-1106,Kohima,NL,3,25.67,94.11
CITY-1107,Itanagar,AR,3,27.1,93.62
CITY-1108,Gangtok,SK,3,27.33,88.61
CITY-1109,Shimla,HP,3,31.1,77.17
CITY-1110,Dharamshala,HP,3,32.22,76.32
CITY-1111,Dehradun,UK,2,30.32,78.03
CITY-1112,Haridwar,UK,3,29.95,78.16
CITY-1113,Srinagar,JK,2,34.08,74.8
CITY-1114,Jammu,JK,2,32.73,74.86
CITY-1115,Panaji,GA,2,15.5,73.83
CITY-1116,Margao,GA,3,15.27,73.96
CITY-1117,Pondicherry,PY,3,11.94,79.83
CITY-1118,Chandigarh City,CH,1,30.73,76.78
