dealer_id,dealer_name,city_id,city_name,state_code,state_name,region,tier,channel,is_urban,monthly_capacity_units,years_active,onboarded_date,latitude,longitude,credit_limit_inr,is_active
DLR-100001,New Delhi A962 Distributors,CITY-1010,New Delhi,DL,Delhi,North,A,Online Marketplace,True,2202,25,2000-09-26,28.605,77.1995,4197560,True
DLR-100002,Rohini A316 Distributors,CITY-1012,Rohini,DL,Delhi,North,A,Multi-Brand Outlet,True,2516,15,2010-09-29,28.7289,77.0471,2860997,True
DLR-100003,Dwarka A747 Distributors,CITY-1011,Dwarka,DL,Delhi,North,A,Retail Store,True,3562,20,2006-02-25,28.5416,77.0423,2873203,True
DLR-100004,Dwarka C127 Distributors,CITY-1011,Dwarka,DL,Delhi,North,C,Retail Store,True,312,3,2022-07-12,28.6006,77.0926,572745,True
DLR-100005,New Delhi B646 Distributors,CITY-1010,New Delhi,DL,Delhi,North,B,Retail Store,True,647,10,2016-02-26,28.5925,77.233,884227,True
DLR-100006,New Delhi C306 Distributors,CITY-1010,New Delhi,DL,Delhi,North,C,Retail Store,True,406,5,2020-09-21,28.5836,77.1856,533097,False
DLR-100007,New Delhi A506 Distributors,CITY-1010,New Delhi,DL,Delhi,North,A,Multi-Brand Outlet,True,2363,14,2011-09-01,28.5914,77.2109,3604285,True
DLR-100008,Rohini B673 Distributors,CITY-1012,Rohini,DL,Delhi,North,B,Retail Store,True,1124,10,2015-10-24,28.7595,77.108,1753534,True
DLR-100009,Dwarka C572 Distributors,CITY-1011,Dwarka,DL,Delhi,North,C,Retail Store,True,193,4,2021-07-15,28.6283,77.0324,228049,True
DLR-100010,Dwarka B417 Distributors,CITY-1011,Dwarka,DL,Delhi,North,B,Retail Store,True,1232,7,2018-09-07,28.5705,77.0165,1313964,True
DLR-100011,New Delhi B596 Distributors,CITY-1010,New Delhi,DL,Delhi,North,B,Retail Store,True,1426,9,2016-11-19,28.6119,77.2303,1575300,True
DLR-100012,Rohini C741 Distributors,CITY-1012,Rohini,DL,Delhi,North,C,Retail Store,True,536,1,2025-01-15,28.7185,77.0237,693179,True
DLR-100013,Rohini B515 Distributors,CITY-1012,Rohini,DL,Delhi,North,B,Institutional/B2B,True,984,6,2019-12-23,28.7045,77.0689,1487056,True
DLR-100014,New Delhi B610 Distributors,CITY-1010,New Delhi,DL,Delhi,North,B,Retail Store,True,1000,9,2016-07-22,28.607,77.2583,908347,True
DLR-100015,New Delhi B610 Distributors,CITY-1010,New Delhi,DL,Delhi,North,B,Retail Store,True,925,16,2009-08-14,28.6191,77.2278,991410,True
DLR-100016,New Delhi A250 Distributors,CITY-1010,New Delhi,DL,Delhi,North,A,Retail Store,True,3459,14,2011-05-27,28.6438,77.2276,5014642,True
DLR-100017,New Delhi B403 Distributors,CITY-1010,New Delhi,DL,Delhi,North,B,Retail Store,True,743,13,2013-01-07,28.6155,77.213,1455167,True
DLR-100018,Dwarka C153 Distributors,CITY-1011,Dwarka,DL,Delhi,North,C,Multi-Brand Outlet,True,158,9,2017-01-19,28.61,77.0847,274264,True
DLR-100019,New Delhi A198 Distributors,CITY-1010,New Delhi,DL,Delhi,North,A,Retail Store,True,2943,13,2013-01-15,28.6206,77.1609,5792991,True
DLR-100020,New Delhi B900 Distributors,CITY-1010,New Delhi,DL,Delhi,North,B,Retail Store,True,1305,9,2016-11-16,28.6252,77.1824,1817437,True
DLR-100021,Dwarka B982 Distributors,CITY-1011,Dwarka,DL,Delhi,North,B,Retail Store,True,991,10,2015-10-16,28.6058,77.0568,1549526,True
DLR-100022,New Delhi C383 Distributors,CITY-1010,New Delhi,DL,Delhi,North,C,Retail Store,True,379,3,2022-08-06,28.6231,77.2395,607426,True
DLR-100023,New Delhi B319 Distributors,CITY-1010,New Delhi,DL,Delhi,North,B,Retail Store,True,1415,6,2020-04-23,28.5624,77.2245,1929965,True
DLR-100024,New Delhi C198 Distributors,CITY-1010,New Delhi,DL,Delhi,North,C,Online Marketplace,True,529,9,2017-03-22,28.6528,77.2028,1045514,True
DLR-100025,New Delhi B422 Distributors,CITY-1010,New Delhi,DL,Delhi,North,B,Multi-Brand Outlet,True,760,6,2019-12-21,28.5973,77.1995,1127895,True
DLR-100026,Rohini C492 Distributors,CITY-1012,Rohini,DL,Delhi,North,C,Retail Store,True,491,7,2018-12-22,28.7418,77.1077,806703,True
DLR-100027,New Delhi B924 Distributors,CITY-1010,New Delhi,DL,Delhi,North,B,Retail Store,True,1358,13,2012-05-09,28.5856,77.2212,2109616,True
DLR-100028,Dwarka A953 Distributors,CITY-1011,Dwarka,DL,Delhi,North,A,Retail Store,True,1899,21,2004-12-09,28.5776,77.0094,2266994,True
DLR-100029,Dwarka C543 Distributors,CITY-1011,Dwarka,DL,Delhi,North,C,Retail Store,True,299,6,2019-06-27,28.5437,77.0823,356402,True
DLR-100030,New Delhi B146 Distributors,CITY-1010,New Delhi,DL,Delhi,North,B,Retail Store,True,1219,8,2018-01-15,28.5685,77.1652,1998446,True
DLR-100031,Dwarka A157 Distributors,CITY-1011,Dwarka,DL,Delhi,North,A,Retail Store,True,1869,17,2008-11-23,28.5441,77.0399,1671161,False
DLR-100032,New Delhi C737 Distributors,CITY-1010,New Delhi,DL,Delhi,North,C,Retail Store,True,428,9,2016-12-20,28.5773,77.1756,390613,True
DLR-100033,New Delhi C175 Distributors,CITY-1010,New Delhi,DL,Delhi,North,C,Retail Store,True,534,7,2018-10-18,28.6154,77.2212,789916,True
DLR-100034,Rohini A303 Distributors,CITY-1012,Rohini,DL,Delhi,North,A,Retail Store,True,2743,12,2014-03-13,28.6941,77.1055,2250887,True
DLR-100035,Rohini C936 Distributors,CITY-1012,Rohini,DL,Delhi,North,C,Retail Store,True,249,1,2024-08-15,28.7334,77.0599,464140,True
DLR-100036,Rohini A357 Distributors,CITY-1012,Rohini,DL,Delhi,North,A,Online Marketplace,True,3989,8,2017-06-07,28.7584,77.0816,3318104,True
DLR-100037,New Delhi C712 Distributors,CITY-1010,New Delhi,DL,Delhi,North,C,Retail Store,True,301,2,2023-11-15,28.6243,77.2058,466889,True
DLR-100038,New Delhi C875 Distributors,CITY-1010,New Delhi,DL,Delhi,North,C,Retail Store,True,192,2,2023-08-17,28.5694,77.2283,242395,True
DLR-100039,Dwarka B475 Distributors,CITY-1011,Dwarka,DL,Delhi,North,B,Online Marketplace,True,714,12,2013-10-15,28.6093,77.0348,1201008,True
DLR-100040,New Delhi B195 Distributors,CITY-1010,New Delhi,DL,Delhi,North,B,Retail Store,True,993,8,2017-10-18,28.6176,77.2332,1200501,True
DLR-100041,New Delhi C980 Distributors,CITY-1010,New Delhi,DL,Delhi,North,C,Retail Store,True,518,7,2019-04-15,28.634,77.1838,728464,True
DLR-100042,New Delhi B364 Distributors,CITY-1010,New Delhi,DL,Delhi,North,B,Multi-Brand Outlet,True,1298,6,2019-11-02,28.5653,77.2559,1535762,True
DLR-100043,New Delhi C583 Distributors,CITY-1010,New Delhi,DL,Delhi,North,C,Retail Store,True,488,5,2021-02-17,28.5893,77.1929,944491,True
DLR-100044,Rohini A942 Distributors,CITY-1012,Rohini,DL,Delhi,North,A,Retail Store,True,2565,14,2011-09-19,28.6956,77.0937,2412332,True
DLR-100045,New Delhi C894 Distributors,CITY-1010,New Delhi,DL,Delhi,North,C,Retail Store,True,550,6,2020-04-20,28.6026,77.1823,906119,True
DLR-100046,Dwarka A316 Distributors,CITY-1011,Dwarka,DL,Delhi,North,A,Online Marketplace,True,3886,15,2010-04-30,28.5771,77.0813,5868895,True
DLR-100047,New Delhi C550 Distributors,CITY-1010,New Delhi,DL,Delhi,North,C,Retail Store,True,424,6,2019-11-12,28.6024,77.2506,468273,True
DLR-100048,Dwarka C447 Distributors,CITY-1011,Dwarka,DL,Delhi,North,C,Retail Store,True,297,8,2017-06-15,28.6223,77.0744,580518,True
DLR-100049,Dwarka B928 Distributors,CITY-1011,Dwarka,DL,Delhi,North,B,Online Marketplace,True,1423,4,2021-12-31,28.6363,77.0012,1689419,True
DLR-100050,Patiala B204 Distributors,CITY-1074,Patiala,PB,Punjab,North,B,Retail Store,False,881,12,2013-05-22,30.3729,76.3969,1143347,True
DLR-100051,Patiala A664 Distributors,CITY-1074,Patiala,PB,Punjab,North,A,Retail Store,False,2017,24,2001-10-17,30.39,76.4397,3900310,True
DLR-100052,Ludhiana B980 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,B,Retail Store,True,677,12,2014-04-28,30.9454,75.8706,1156586,True
DLR-100053,Hoshiarpur B367 Distributors,CITY-1073,Hoshiarpur,PB,Punjab,North,B,Retail Store,True,1150,13,2012-08-22,31.532,75.9372,2046612,True
DLR-100054,Ludhiana A677 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,A,Multi-Brand Outlet,True,2262,24,2002-01-10,30.898,75.8521,3994813,True
DLR-100055,Ludhiana C546 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,C,Retail Store,True,375,6,2019-06-26,30.909,75.8492,626878,True
DLR-100056,Ludhiana B237 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,B,Online Marketplace,True,934,15,2011-03-31,30.9122,75.8962,1785719,True
DLR-100057,Ludhiana B851 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,B,Retail Store,True,668,5,2020-08-08,30.8993,75.8429,808197,True
DLR-100058,Bathinda B963 Distributors,CITY-1075,Bathinda,PB,Punjab,North,B,Retail Store,False,1447,14,2012-04-21,30.178,74.9697,1980586,True
DLR-100059,Hoshiarpur A744 Distributors,CITY-1073,Hoshiarpur,PB,Punjab,North,A,Retail Store,True,2528,25,2001-01-30,31.5148,75.8632,3420218,True
DLR-100060,Amritsar B313 Distributors,CITY-1071,Amritsar,PB,Punjab,North,B,Retail Store,True,677,13,2012-07-02,31.6122,74.8292,608021,True
DLR-100061,Hoshiarpur C791 Distributors,CITY-1073,Hoshiarpur,PB,Punjab,North,C,Retail Store,True,210,1,2025-03-31,31.5668,75.8685,220756,True
DLR-100062,Patiala B411 Distributors,CITY-1074,Patiala,PB,Punjab,North,B,Retail Store,False,1073,15,2011-02-11,30.3363,76.4147,1029801,True
DLR-100063,Bathinda C584 Distributors,CITY-1075,Bathinda,PB,Punjab,North,C,Retail Store,False,512,2,2023-07-07,30.2133,74.9242,521595,True
DLR-100064,Ludhiana C332 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,C,Retail Store,True,235,9,2016-12-04,30.8843,75.8574,328560,True
DLR-100065,Amritsar C381 Distributors,CITY-1071,Amritsar,PB,Punjab,North,C,Retail Store,True,183,8,2017-09-04,31.5928,74.8484,279819,True
DLR-100066,Ludhiana B723 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,B,Retail Store,True,1340,12,2013-07-14,30.8508,75.8325,1330375,True
DLR-100067,Ludhiana B328 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,B,Retail Store,True,1206,11,2014-06-22,30.9342,75.8152,2386498,True
DLR-100068,Ludhiana B673 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,B,Retail Store,True,1331,14,2012-04-25,30.8505,75.9075,2549199,True
DLR-100069,Jalandhar C631 Distributors,CITY-1072,Jalandhar,PB,Punjab,North,C,Retail Store,True,584,5,2020-06-05,31.3768,75.6011,637080,True
DLR-100070,Amritsar C358 Distributors,CITY-1071,Amritsar,PB,Punjab,North,C,Retail Store,True,469,6,2019-07-09,31.6306,74.9132,404366,True
DLR-100071,Ludhiana A418 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,A,Retail Store,True,3442,17,2008-11-09,30.8702,75.8785,5568478,True
DLR-100072,Ludhiana C433 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,C,Retail Store,True,557,6,2020-01-24,30.8607,75.8951,1069175,True
DLR-100073,Amritsar B878 Distributors,CITY-1071,Amritsar,PB,Punjab,North,B,Multi-Brand Outlet,True,1146,4,2021-07-05,31.6522,74.8248,2010451,True
DLR-100074,Ludhiana A700 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,A,Multi-Brand Outlet,True,2224,12,2014-04-24,30.8736,75.8734,4120272,True
DLR-100075,Amritsar C674 Distributors,CITY-1071,Amritsar,PB,Punjab,North,C,Retail Store,True,444,8,2018-04-14,31.67,74.8824,623049,True
DLR-100076,Ludhiana C678 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,C,Retail Store,True,599,5,2021-01-13,30.8729,75.8643,930396,True
DLR-100077,Ludhiana A510 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,A,Retail Store,True,3146,8,2017-09-09,30.9073,75.9098,5325346,True
DLR-100078,Amritsar C914 Distributors,CITY-1071,Amritsar,PB,Punjab,North,C,Retail Store,True,159,5,2020-12-25,31.6555,74.8303,288703,True
DLR-100079,Jalandhar B510 Distributors,CITY-1072,Jalandhar,PB,Punjab,North,B,Retail Store,True,756,11,2014-08-11,31.3286,75.5709,1186449,True
DLR-100080,Ludhiana C811 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,C,Retail Store,True,448,5,2020-11-30,30.8682,75.9008,586125,True
DLR-100081,Ludhiana C559 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,C,Multi-Brand Outlet,True,367,8,2017-09-30,30.9111,75.8118,338614,True
DLR-100082,Ludhiana C150 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,C,Retail Store,True,442,8,2017-12-22,30.8653,75.8676,744210,True
DLR-100083,Bathinda C924 Distributors,CITY-1075,Bathinda,PB,Punjab,North,C,Retail Store,False,556,1,2024-06-28,30.1836,74.9166,666408,True
DLR-100084,Amritsar B902 Distributors,CITY-1071,Amritsar,PB,Punjab,North,B,Retail Store,True,1260,12,2013-06-24,31.6135,74.9003,1610031,True
DLR-100085,Jalandhar C975 Distributors,CITY-1072,Jalandhar,PB,Punjab,North,C,Retail Store,True,535,7,2018-09-30,31.3281,75.6218,1013985,True
DLR-100086,Patiala C765 Distributors,CITY-1074,Patiala,PB,Punjab,North,C,Retail Store,False,329,6,2019-05-19,30.3211,76.418,268369,True
DLR-100087,Ludhiana A459 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,A,Retail Store,True,2607,16,2009-11-04,30.9057,75.8961,3656666,True
DLR-100088,Patiala A576 Distributors,CITY-1074,Patiala,PB,Punjab,North,A,Retail Store,False,3762,26,1999-10-04,30.3249,76.3868,5140699,True
DLR-100089,Jalandhar A930 Distributors,CITY-1072,Jalandhar,PB,Punjab,North,A,Retail Store,True,2894,22,2003-10-20,31.3334,75.5781,2672834,True
DLR-100090,Ludhiana A277 Distributors,CITY-1070,Ludhiana,PB,Punjab,North,A,Retail Store,True,2299,17,2008-11-19,30.8909,75.8125,4231062,True
DLR-100091,Amritsar C678 Distributors,CITY-1071,Amritsar,PB,Punjab,North,C,Multi-Brand Outlet,True,472,8,2017-08-16,31.582,74.8304,880257,True
DLR-100092,Hoshiarpur C599 Distributors,CITY-1073,Hoshiarpur,PB,Punjab,North,C,Online Marketplace,True,440,8,2018-02-09,31.5403,75.9407,704748,True
DLR-100093,Amritsar B647 Distributors,CITY-1071,Amritsar,PB,Punjab,North,B,Retail Store,True,606,13,2012-08-09,31.6536,74.9048,952335,True
DLR-100094,Bathinda C495 Distributors,CITY-1075,Bathinda,PB,Punjab,North,C,Retail Store,False,346,4,2022-04-16,30.1859,74.938,621687,True
DLR-100095,Panipat C154 Distributors,CITY-1078,Panipat,HR,Haryana,North,C,Online Marketplace,False,160,4,2022-01-04,29.4122,76.971,255424,True
DLR-100096,Faridabad C606 Distributors,CITY-1077,Faridabad,HR,Haryana,North,C,Retail Store,True,438,4,2021-08-31,28.3862,77.3295,664100,True
DLR-100097,Hisar C141 Distributors,CITY-1080,Hisar,HR,Haryana,North,C,Retail Store,False,222,9,2016-07-06,29.1728,75.7195,300059,True
DLR-100098,Gurugram A916 Distributors,CITY-1076,Gurugram,HR,Haryana,North,A,Retail Store,True,1607,19,2007-01-19,28.469,77.0161,1549441,True
DLR-100099,Ambala B180 Distributors,CITY-1081,Ambala,HR,Haryana,North,B,Retail Store,False,1414,15,2010-06-16,30.4158,76.8058,2249023,True
DLR-100100,Panipat C637 Distributors,CITY-1078,Panipat,HR,Haryana,North,C,Retail Store,False,174,2,2024-01-28,29.4047,76.9793,147432,True
DLR-100101,Gurugram C236 Distributors,CITY-1076,Gurugram,HR,Haryana,North,C,Retail Store,True,556,5,2021-01-31,28.5015,76.9834,573302,True
DLR-100102,Faridabad B589 Distributors,CITY-1077,Faridabad,HR,Haryana,North,B,Retail Store,True,1076,5,2020-09-16,28.4462,77.3545,1693038,True
DLR-100103,Ambala B282 Distributors,CITY-1081,Ambala,HR,Haryana,North,B,Retail Store,False,1219,15,2010-07-03,30.3277,76.7996,1566881,True
DLR-100104,Faridabad C549 Distributors,CITY-1077,Faridabad,HR,Haryana,North,C,Multi-Brand Outlet,True,153,6,2019-09-30,28.412,77.3127,126879,True
DLR-100105,Gurugram A913 Distributors,CITY-1076,Gurugram,HR,Haryana,North,A,Retail Store,True,2258,20,2005-12-11,28.4484,77.0733,2756688,True
DLR-100106,Faridabad B458 Distributors,CITY-1077,Faridabad,HR,Haryana,North,B,Retail Store,True,844,15,2010-10-27,28.4181,77.2972,1204407,True
DLR-100107,Faridabad A684 Distributors,CITY-1077,Faridabad,HR,Haryana,North,A,Retail Store,True,2665,25,2000-06-12,28.4316,77.3289,2482077,True
DLR-100108,Panipat A418 Distributors,CITY-1078,Panipat,HR,Haryana,North,A,Institutional/B2B,False,3734,12,2014-02-27,29.3659,76.9689,7220355,True
DLR-100109,Faridabad C409 Distributors,CITY-1077,Faridabad,HR,Haryana,North,C,Multi-Brand Outlet,True,302,7,2019-03-07,28.3665,77.3102,461843,True
DLR-100110,Faridabad B616 Distributors,CITY-1077,Faridabad,HR,Haryana,North,B,Multi-Brand Outlet,True,825,12,2013-09-23,28.3637,77.3657,717264,True
DLR-100111,Gurugram C161 Distributors,CITY-1076,Gurugram,HR,Haryana,North,C,Retail Store,True,248,4,2021-08-29,28.4274,77.0196,494909,True
DLR-100112,Faridabad B716 Distributors,CITY-1077,Faridabad,HR,Haryana,North,B,Retail Store,True,1380,11,2015-01-30,28.4193,77.328,1751777,True
DLR-100113,Faridabad B360 Distributors,CITY-1077,Faridabad,HR,Haryana,North,B,Retail Store,True,794,12,2013-09-15,28.4462,77.351,1335710,True
DLR-100114,Gurugram B415 Distributors,CITY-1076,Gurugram,HR,Haryana,North,B,Retail Store,True,637,11,2014-08-21,28.4823,77.0296,593277,True
DLR-100115,Hisar C667 Distributors,CITY-1080,Hisar,HR,Haryana,North,C,Multi-Brand Outlet,False,263,8,2017-07-01,29.1481,75.7292,419362,True
DLR-100116,Faridabad C670 Distributors,CITY-1077,Faridabad,HR,Haryana,North,C,Multi-Brand Outlet,True,438,6,2019-09-24,28.4397,77.3358,434706,True
DLR-100117,Faridabad B846 Distributors,CITY-1077,Faridabad,HR,Haryana,North,B,Retail Store,True,1292,13,2012-05-08,28.4219,77.3453,2524023,True
DLR-100118,Karnal C688 Distributors,CITY-1079,Karnal,HR,Haryana,North,C,Retail Store,False,575,5,2020-11-20,29.7309,76.9401,810152,False
DLR-100119,Faridabad B547 Distributors,CITY-1077,Faridabad,HR,Haryana,North,B,Retail Store,True,645,14,2012-01-07,28.416,77.2816,933948,True
DLR-100120,Karnal A434 Distributors,CITY-1079,Karnal,HR,Haryana,North,A,Retail Store,False,3961,14,2012-02-15,29.6832,77.024,7598915,True
DLR-100121,Faridabad C500 Distributors,CITY-1077,Faridabad,HR,Haryana,North,C,Retail Store,True,501,4,2021-08-28,28.4547,77.2866,750800,True
DLR-100122,Gurugram C326 Distributors,CITY-1076,Gurugram,HR,Haryana,North,C,Retail Store,True,359,2,2023-07-31,28.5073,77.0769,543265,True
DLR-100123,Faridabad A615 Distributors,CITY-1077,Faridabad,HR,Haryana,North,A,Retail Store,True,3626,26,2000-03-05,28.3601,77.2859,4755200,True
DLR-100124,Faridabad A638 Distributors,CITY-1077,Faridabad,HR,Haryana,North,A,Retail Store,True,2386,18,2007-07-17,28.3682,77.338,4394213,True
DLR-100125,Panipat A552 Distributors,CITY-1078,Panipat,HR,Haryana,North,A,Retail Store,False,2488,28,1997-07-04,29.382,76.9739,4928163,True
DLR-100126,Gurugram C370 Distributors,CITY-1076,Gurugram,HR,Haryana,North,C,Retail Store,True,164,2,2023-11-15,28.4131,77.0452,223997,True
DLR-100127,Gurugram A298 Distributors,CITY-1076,Gurugram,HR,Haryana,North,A,Multi-Brand Outlet,True,2484,24,2002-01-29,28.4877,77.0571,3853837,True
DLR-100128,Gurugram A993 Distributors,CITY-1076,Gurugram,HR,Haryana,North,A,Retail Store,True,1877,10,2016-03-13,28.4562,76.9801,3045767,True
DLR-100129,Gurugram B820 Distributors,CITY-1076,Gurugram,HR,Haryana,North,B,Institutional/B2B,True,1430,9,2017-01-01,28.469,77.0233,1163940,True
DLR-100130,Panipat B524 Distributors,CITY-1078,Panipat,HR,Haryana,North,B,Online Marketplace,False,965,9,2017-03-27,29.4057,76.9857,817878,True
DLR-100131,Gurugram A759 Distributors,CITY-1076,Gurugram,HR,Haryana,North,A,Retail Store,True,3948,19,2007-03-16,28.4242,77.0299,4797688,True
DLR-100132,Faridabad C215 Distributors,CITY-1077,Faridabad,HR,Haryana,North,C,Retail Store,True,502,2,2023-09-14,28.3688,77.3051,617139,True
DLR-100133,Faridabad C416 Distributors,CITY-1077,Faridabad,HR,Haryana,North,C,Retail Store,True,239,2,2023-12-05,28.38,77.2867,393817,True
DLR-100134,Faridabad C417 Distributors,CITY-1077,Faridabad,HR,Haryana,North,C,Multi-Brand Outlet,True,508,9,2016-10-06,28.4471,77.3414,779632,True
