centre_id,centre_name,city_id,city_name,state_code,state_name,region,latitude,longitude,monthly_capacity_requests,established_year,is_authorised
SVC-50001,Hawkins Service Centre - Chennai #3,CITY-1019,Chennai,TN,Tamil Nadu,South,13.104,80.2703,195,2005,True
SVC-50002,Hawkins Service Centre - Nashik #2,CITY-1003,Nashik,MH,Maharashtra,West,19.9794,73.7935,42,1989,True
SVC-50003,Hawkins Service Centre - Lucknow #8,CITY-1057,Lucknow,UP,Uttar Pradesh,Central,26.8723,80.9311,205,2007,True
SVC-50004,Hawkins Service Centre - Patna #5,CITY-1087,Patna,BR,Bihar,East,25.5881,85.14,98,2012,True
SVC-50005,Hawkins Service Centre - Kozhikode #4,CITY-1053,Kozhikode,KL,Kerala,South,11.2428,75.8079,49,2003,True
SVC-50006,Hawkins Service Centre - Amritsar #8,CITY-1071,Amritsar,PB,Punjab,North,31.6486,74.8741,82,1988,True
SVC-50007,Hawkins Service Centre - Hyderabad #1,CITY-1027,Hyderabad,TS,Telangana,South,17.3682,78.5055,248,1995,True
SVC-50008,Hawkins Service Centre - Jaipur #6,CITY-1045,Jaipur,RJ,Rajasthan,West,26.9181,75.8058,220,1991,True
SVC-50009,Hawkins Service Centre - Vijayawada #1,CITY-1030,Vijayawada,AP,Andhra Pradesh,South,16.514,80.6357,44,2014,True
SVC-50010,Hawkins Service Centre - Thane #1,CITY-1004,Thane,MH,Maharashtra,West,19.2181,72.9922,131,2005,True
SVC-50011,Hawkins Service Centre - Vadodara #3,CITY-1040,Vadodara,GJ,Gujarat,West,22.2817,73.1986,57,2021,True
SVC-50012,Hawkins Service Centre - Gurugram #8,CITY-1076,Gurugram,HR,Haryana,North,28.4368,77.0408,124,2016,True
SVC-50013,Hawkins Service Centre - Surat #5,CITY-1039,Surat,GJ,Gujarat,West,21.1557,72.8122,47,1994,True
SVC-50014,Hawkins Service Centre - Ghaziabad #2,CITY-1065,Ghaziabad,UP,Uttar Pradesh,Central,28.664,77.46,148,2012,True
SVC-50015,Hawkins Service Centre - Hoshiarpur #5,CITY-1073,Hoshiarpur,PB,Punjab,North,31.544,75.9043,96,1993,True
SVC-50016,Hawkins Service Centre - Vijayawada #1,CITY-1030,Vijayawada,AP,Andhra Pradesh,South,16.5129,80.6524,46,2013,True
SVC-50017,Hawkins Service Centre - Faridabad #5,CITY-1077,Faridabad,HR,Haryana,North,28.3942,77.32,200,1988,True
SVC-50018,Hawkins Service Centre - Kolkata #4,CITY-1033,Kolkata,WB,West Bengal,East,22.5625,88.373,203,1992,True
