pricing_id,snapshot_date,product_id,competitor,hawkins_price,competitor_price,price_gap_pct
CP-800001,2023-04-01,HW-PC-10001,TTK Prestige,1020.0,1060.0,3.92
CP-800002,2023-04-01,HW-PC-10001,Butterfly,1020.0,820.0,-19.61
CP-800003,2023-04-01,HW-PC-10001,Pigeon,1020.0,740.0,-27.45
CP-800004,2023-04-01,HW-PC-10001,Stove Kraft,1020.0,910.0,-10.78
CP-800005,2023-05-01,HW-PC-10001,TTK Prestige,1020.0,1050.0,2.94
CP-800006,2023-05-01,HW-PC-10001,Butterfly,1020.0,960.0,-5.88
CP-800007,2023-05-01,HW-PC-10001,Pigeon,1020.0,760.0,-25.49
CP-800008,2023-05-01,HW-PC-10001,Stove Kraft,1020.0,810.0,-20.59
CP-800009,2023-06-01,HW-PC-10001,TTK Prestige,1020.0,1030.0,0.98
CP-800010,2023-06-01,HW-PC-10001,Butterfly,1020.0,850.0,-16.67
CP-800011,2023-06-01,HW-PC-10001,Pigeon,1020.0,790.0,-22.55
CP-800012,2023-06-01,HW-PC-10001,Stove Kraft,1020.0,860.0,-15.69
CP-800013,2023-07-01,HW-PC-10001,TTK Prestige,1020.0,1040.0,1.96
CP-800014,2023-07-01,HW-PC-10001,Butterfly,1020.0,800.0,-21.57
CP-800015,2023-07-01,HW-PC-10001,Pigeon,1020.0,770.0,-24.51
CP-800016,2023-07-01,HW-PC-10001,Stove Kraft,1020.0,910.0,-10.78
CP-800017,2023-08-01,HW-PC-10001,TTK Prestige,1020.0,1080.0,5.88
CP-800018,2023-08-01,HW-PC-10001,Butterfly,1020.0,910.0,-10.78
CP-800019,2023-08-01,HW-PC-10001,Pigeon,1020.0,790.0,-22.55
CP-800020,2023-08-01,HW-PC-10001,Stove Kraft,1020.0,860.0,-15.69
CP-800021,2023-09-01,HW-PC-10001,TTK Prestige,1020.0,1170.0,14.71
CP-800022,2023-09-01,HW-PC-10001,Butterfly,1020.0,920.0,-9.8
CP-800023,2023-09-01,HW-PC-10001,Pigeon,1020.0,810.0,-20.59
CP-800024,2023-09-01,HW-PC-10001,Stove Kraft,1020.0,910.0,-10.78
CP-800025,2023-10-01,HW-PC-10001,TTK Prestige,1020.0,1140.0,11.76
CP-800026,2023-10-01,HW-PC-10001,Butterfly,1020.0,840.0,-17.65
CP-800027,2023-10-01,HW-PC-10001,Pigeon,1020.0,880.0,-13.73
CP-800028,2023-10-01,HW-PC-10001,Stove Kraft,1020.0,930.0,-8.82
CP-800029,2023-11-01,HW-PC-10001,TTK Prestige,1020.0,1120.0,9.8
CP-800030,2023-11-01,HW-PC-10001,Butterfly,1020.0,880.0,-13.73
CP-800031,2023-11-01,HW-PC-10001,Pigeon,1020.0,780.0,-23.53
CP-800032,2023-11-01,HW-PC-10001,Stove Kraft,1020.0,1020.0,0.0
CP-800033,2023-12-01,HW-PC-10001,TTK Prestige,1020.0,1120.0,9.8
CP-800034,2023-12-01,HW-PC-10001,Butterfly,1020.0,920.0,-9.8
CP-800035,2023-12-01,HW-PC-10001,Pigeon,1020.0,850.0,-16.67
CP-800036,2023-12-01,HW-PC-10001,Stove Kraft,1020.0,940.0,-7.84
CP-800037,2024-01-01,HW-PC-10001,TTK Prestige,1020.0,1080.0,5.88
CP-800038,2024-01-01,HW-PC-10001,Butterfly,1020.0,820.0,-19.61
CP-800039,2024-01-01,HW-PC-10001,Pigeon,1020.0,860.0,-15.69
CP-800040,2024-01-01,HW-PC-10001,Stove Kraft,1020.0,910.0,-10.78
CP-800041,2024-02-01,HW-PC-10001,TTK Prestige,1020.0,1130.0,10.78
CP-800042,2024-02-01,HW-PC-10001,Butterfly,1020.0,1040.0,1.96
CP-800043,2024-02-01,HW-PC-10001,Pigeon,1020.0,840.0,-17.65
CP-800044,2024-02-01,HW-PC-10001,Stove Kraft,1020.0,1020.0,0.0
CP-800045,2024-03-01,HW-PC-10001,TTK Prestige,1020.0,1120.0,9.8
CP-800046,2024-03-01,HW-PC-10001,Butterfly,1020.0,930.0,-8.82
CP-800047,2024-03-01,HW-PC-10001,Pigeon,1020.0,800.0,-21.57
CP-800048,2024-03-01,HW-PC-10001,Stove Kraft,1020.0,940.0,-7.84
CP-800049,2024-04-01,HW-PC-10001,TTK Prestige,1020.0,1070.0,4.9
CP-800050,2024-04-01,HW-PC-10001,Butterfly,1020.0,900.0,-11.76
CP-800051,2024-04-01,HW-PC-10001,Pigeon,1020.0,790.0,-22.55
CP-800052,2024-04-01,HW-PC-10001,Stove Kraft,1020.0,1040.0,1.96
