snapshot_id,snapshot_date,factory_id,product_id,opening_stock,production_units,dispatch_units,closing_stock
INV-600001,2023-04-01,FAC-001,HW-PC-10001,143,374,449,68
INV-600002,2023-05-01,FAC-001,HW-PC-10001,70,295,277,88
INV-600003,2023-06-01,FAC-001,HW-PC-10001,128,366,440,54
INV-600004,2023-07-01,FAC-001,HW-PC-10001,106,240,317,29
INV-600005,2023-08-01,FAC-001,HW-PC-10001,62,256,250,68
INV-600006,2023-09-01,FAC-001,HW-PC-10001,143,434,482,95
INV-600007,2023-10-01,FAC-001,HW-PC-10001,152,433,455,130
INV-600008,2023-11-01,FAC-001,HW-PC-10001,90,309,335,64
INV-600009,2023-12-01,FAC-001,HW-PC-10001,89,358,381,66
INV-600010,2024-01-01,FAC-001,HW-PC-10001,71,339,357,53
INV-600011,2024-02-01,FAC-001,HW-PC-10001,64,297,339,22
INV-600012,2024-03-01,FAC-001,HW-PC-10001,151,376,427,100
INV-600013,2024-04-01,FAC-001,HW-PC-10001,107,290,332,65
INV-600014,2024-05-01,FAC-001,HW-PC-10001,94,292,292,94
INV-600015,2024-06-01,FAC-001,HW-PC-10001,97,370,412,55
INV-600016,2024-07-01,FAC-001,HW-PC-10001,87,264,301,50
INV-600017,2024-08-01,FAC-001,HW-PC-10001,111,253,329,35
INV-600018,2024-09-01,FAC-001,HW-PC-10001,221,522,646,97
INV-600019,2024-10-01,FAC-001,HW-PC-10001,115,520,501,134
INV-600020,2024-11-01,FAC-001,HW-PC-10001,79,284,300,63
INV-600021,2024-12-01,FAC-001,HW-PC-10001,125,307,354,78
INV-600022,2025-01-01,FAC-001,HW-PC-10001,103,308,319,92
INV-600023,2025-02-01,FAC-001,HW-PC-10001,78,359,414,23
INV-600024,2025-03-01,FAC-001,HW-PC-10001,88,356,333,111
INV-600025,2025-04-01,FAC-001,HW-PC-10001,135,361,444,52
INV-600026,2025-05-01,FAC-001,HW-PC-10001,77,356,355,78
INV-600027,2025-06-01,FAC-001,HW-PC-10001,120,291,359,52
INV-600028,2025-07-01,FAC-001,HW-PC-10001,57,266,262,61
INV-600029,2025-08-01,FAC-001,HW-PC-10001,101,265,321,45
INV-600030,2025-09-01,FAC-001,HW-PC-10001,163,515,524,154
INV-600031,2025-10-01,FAC-001,HW-PC-10001,191,491,588,94
INV-600032,2025-11-01,FAC-001,HW-PC-10001,115,356,402,69
INV-600033,2025-12-01,FAC-001,HW-PC-10001,66,322,299,89
INV-600034,2026-01-01,FAC-001,HW-PC-10001,101,283,312,72
INV-600035,2026-02-01,FAC-001,HW-PC-10001,140,330,375,95
INV-600036,2026-03-01,FAC-001,HW-PC-10001,124,321,354,91
INV-600037,2023-04-01,FAC-001,HW-PC-10002,74,309,358,25
INV-600038,2023-05-01,FAC-001,HW-PC-10002,129,360,451,38
INV-600039,2023-06-01,FAC-001,HW-PC-10002,88,360,415,33
INV-600040,2023-07-01,FAC-001,HW-PC-10002,113,283,367,29
INV-600041,2023-08-01,FAC-001,HW-PC-10002,60,265,258,67
INV-600042,2023-09-01,FAC-001,HW-PC-10002,182,451,583,50
INV-600043,2023-10-01,FAC-001,HW-PC-10002,128,393,434,87
INV-600044,2023-11-01,FAC-001,HW-PC-10002,69,302,303,68
INV-600045,2023-12-01,FAC-001,HW-PC-10002,104,373,407,70
INV-600046,2024-01-01,FAC-001,HW-PC-10002,101,350,425,26
INV-600047,2024-02-01,FAC-001,HW-PC-10002,98,375,401,72
INV-600048,2024-03-01,FAC-001,HW-PC-10002,84,310,298,96
INV-600049,2024-04-01,FAC-001,HW-PC-10002,110,340,342,108
INV-600050,2024-05-01,FAC-001,HW-PC-10002,131,308,350,89
INV-600051,2024-06-01,FAC-001,HW-PC-10002,94,294,367,21
INV-600052,2024-07-01,FAC-001,HW-PC-10002,94,258,317,35
INV-600053,2024-08-01,FAC-001,HW-PC-10002,98,258,293,63
INV-600054,2024-09-01,FAC-001,HW-PC-10002,172,480,558,94
INV-600055,2024-10-01,FAC-001,HW-PC-10002,165,405,464,106
INV-600056,2024-11-01,FAC-001,HW-PC-10002,62,298,312,48
INV-600057,2024-12-01,FAC-001,HW-PC-10002,70,347,355,62
INV-600058,2025-01-01,FAC-001,HW-PC-10002,109,302,322,89
INV-600059,2025-02-01,FAC-001,HW-PC-10002,103,348,422,29
INV-600060,2025-03-01,FAC-001,HW-PC-10002,83,294,291,86
INV-600061,2025-04-01,FAC-001,HW-PC-10002,155,372,422,105
INV-600062,2025-05-01,FAC-001,HW-PC-10002,139,345,416,68
INV-600063,2025-06-01,FAC-001,HW-PC-10002,86,332,321,97
INV-600064,2025-07-01,FAC-001,HW-PC-10002,133,313,390,56
INV-600065,2025-08-01,FAC-001,HW-PC-10002,76,266,306,36
INV-600066,2025-09-01,FAC-001,HW-PC-10002,218,517,665,70
INV-600067,2025-10-01,FAC-001,HW-PC-10002,106,481,459,128
INV-600068,2025-11-01,FAC-001,HW-PC-10002,129,369,374,124
INV-600069,2025-12-01,FAC-001,HW-PC-10002,106,290,297,99
INV-600070,2026-01-01,FAC-001,HW-PC-10002,99,296,350,45
INV-600071,2026-02-01,FAC-001,HW-PC-10002,88,345,386,47
INV-600072,2026-03-01,FAC-001,HW-PC-10002,85,303,348,40
INV-600073,2023-04-01,FAC-001,HW-PC-10003,132,364,428,68
INV-600074,2023-05-01,FAC-001,HW-PC-10003,84,289,299,74
INV-600075,2023-06-01,FAC-001,HW-PC-10003,134,304,362,76
INV-600076,2023-07-01,FAC-001,HW-PC-10003,111,313,385,39
INV-600077,2023-08-01,FAC-001,HW-PC-10003,96,280,319,57
INV-600078,2023-09-01,FAC-001,HW-PC-10003,159,419,465,113
INV-600079,2023-10-01,FAC-001,HW-PC-10003,143,396,423,116
INV-600080,2023-11-01,FAC-001,HW-PC-10003,163,373,500,36
INV-600081,2023-12-01,FAC-001,HW-PC-10003,64,317,356,25
INV-600082,2024-01-01,FAC-001,HW-PC-10003,142,322,437,27
INV-600083,2024-02-01,FAC-001,HW-PC-10003,99,364,382,81
INV-600084,2024-03-01,FAC-001,HW-PC-10003,101,364,364,101
INV-600085,2024-04-01,FAC-001,HW-PC-10003,145,335,426,54
INV-600086,2024-05-01,FAC-001,HW-PC-10003,75,336,358,53
INV-600087,2024-06-01,FAC-001,HW-PC-10003,88,378,397,69
INV-600088,2024-07-01,FAC-001,HW-PC-10003,120,312,384,48
INV-600089,2024-08-01,FAC-001,HW-PC-10003,86,297,309,74
INV-600090,2024-09-01,FAC-001,HW-PC-10003,202,504,651,55
INV-600091,2024-10-01,FAC-001,HW-PC-10003,170,519,585,104
INV-600092,2024-11-01,FAC-001,HW-PC-10003,130,359,435,54
INV-600093,2024-12-01,FAC-001,HW-PC-10003,151,359,416,94
INV-600094,2025-01-01,FAC-001,HW-PC-10003,70,317,335,52
INV-600095,2025-02-01,FAC-001,HW-PC-10003,89,284,320,53
INV-600096,2025-03-01,FAC-001,HW-PC-10003,107,308,313,102
INV-600097,2025-04-01,FAC-001,HW-PC-10003,115,284,327,72
INV-600098,2025-05-01,FAC-001,HW-PC-10003,96,293,351,38
INV-600099,2025-06-01,FAC-001,HW-PC-10003,107,301,312,96
INV-600100,2025-07-01,FAC-001,HW-PC-10003,80,242,276,46
INV-600101,2025-08-01,FAC-001,HW-PC-10003,111,292,380,23
INV-600102,2025-09-01,FAC-001,HW-PC-10003,130,464,539,55
INV-600103,2025-10-01,FAC-001,HW-PC-10003,133,430,431,132
INV-600104,2025-11-01,FAC-001,HW-PC-10003,124,283,373,34
INV-600105,2025-12-01,FAC-001,HW-PC-10003,105,349,356,98
INV-600106,2026-01-01,FAC-001,HW-PC-10003,77,295,319,53
INV-600107,2026-02-01,FAC-001,HW-PC-10003,128,351,386,93
INV-600108,2026-03-01,FAC-001,HW-PC-10003,144,375,446,73
INV-600109,2023-04-01,FAC-001,HW-PC-10004,84,322,333,73
