request_id,request_date,centre_id,product_id,issue_type,severity,status,resolution_days,is_under_warranty,cost_inr
SVC-REQ-700000,2023-07-20,SVC-50050,HW-PC-10061,Handle Damage,Routine,Resolved,3.0,True,0
SVC-REQ-700001,2024-06-20,SVC-50004,HW-PC-10012,Gasket Replacement,Routine,Resolved,3.0,True,0
SVC-REQ-700002,2024-07-02,SVC-50126,HW-PC-10044,Lid Stuck,Critical,Pending,,True,0
SVC-REQ-700003,2024-08-19,SVC-50073,HW-PC-10059,Body Dent,Cosmetic,Resolved,5.0,True,0
SVC-REQ-700004,2025-10-28,SVC-50105,HW-PC-10001,Safety Valve Issue,Critical,Resolved,6.0,False,150
SVC-REQ-700005,2023-11-20,SVC-50085,HW-PC-10059,Vent Weight Lost,Routine,Resolved,2.0,True,0
SVC-REQ-700006,2023-07-12,SVC-50132,HW-PC-10046,Safety Valve Issue,Critical,Resolved,7.0,False,250
SVC-REQ-700007,2025-01-27,SVC-50064,HW-PC-10030,Gasket Replacement,Routine,Resolved,3.0,True,0
SVC-REQ-700008,2023-10-04,SVC-50080,HW-PC-10001,Gasket Replacement,Routine,Resolved,5.0,True,0
SVC-REQ-700009,2023-06-14,SVC-50025,HW-PC-10004,Body Dent,Cosmetic,Resolved,8.0,True,0
SVC-REQ-700010,2024-06-30,SVC-50007,HW-PC-10017,Gasket Replacement,Routine,Pending,,True,0
SVC-REQ-700011,2023-11-21,SVC-50126,HW-PC-10008,Pressure Loss,Critical,Pending,,True,0
SVC-REQ-700012,2024-05-02,SVC-50005,HW-PC-10008,Pressure Loss,Critical,Pending,,True,0
SVC-REQ-700013,2023-12-27,SVC-50040,HW-PC-10014,Pressure Loss,Critical,Escalated,10.0,True,0
SVC-REQ-700014,2023-06-30,SVC-50021,HW-PC-10001,Vent Weight Lost,Routine,Resolved,4.0,True,0
SVC-REQ-700015,2024-11-27,SVC-50091,HW-PC-10005,Safety Valve Issue,Critical,Resolved,8.0,False,150
SVC-REQ-700016,2023-05-02,SVC-50061,HW-PC-10020,Safety Valve Issue,Critical,Resolved,6.0,True,0
